household_id,person_weight,log_salary,any_home_internet,digital_access_score,education_band,matric_plus,age_centred,age_centred_squared,female,population_group,province,settlement_type
165100790040000801,2079.63256947,9.156412029950626,1,2,Some secondary,0,4,16,1,Black African,Western Cape,Non-metro urban
165100790040000801,2079.63256947,8.476371196895983,1,2,No schooling,0,4,16,0,Black African,Western Cape,Non-metro urban
165100790040000801,2079.63256947,8.567315800819449,1,2,Matric,1,-19,361,1,Black African,Western Cape,Non-metro urban
165100790040001201,2209.87475505,8.27614021955846,1,2,Some secondary,0,3,9,0,Black African,Western Cape,Non-metro urban
165100790040001201,2209.87475505,8.847647355711887,1,2,Some secondary,0,9,81,0,Black African,Western Cape,Non-metro urban
165100790040001401,1352.50964113,8.517193191416238,1,2,Primary (Grade R-7),0,-19,361,0,Black African,Western Cape,Non-metro urban
165100790040001401,1352.50964113,8.517193191416238,1,2,Primary (Grade R-7),0,-17,289,0,Black African,Western Cape,Non-metro urban
165101390000021801,1937.50679945,8.987196820661973,1,2,Some secondary,0,9,81,0,Coloured,Western Cape,Farms
165101390000021801,1937.50679945,8.005367067316664,1,2,Some secondary,0,-17,289,0,Coloured,Western Cape,Farms
165101390000029701,896.081371471,8.389359819906353,1,2,Primary (Grade R-7),0,-8,64,0,Coloured,Western Cape,Farms
165101390000037601,1305.96668118,8.294049640102028,1,2,Primary (Grade R-7),0,16,256,0,Black African,Western Cape,Farms
165101390000037601,1305.96668118,8.294049640102028,1,2,Matric,1,-13,169,0,Black African,Western Cape,Farms
165101650000005201,1083.92497885,8.389359819906353,0,0,Some secondary,0,-12,144,1,Black African,Western Cape,Farms
165101650000014101,1213.75441703,8.476371196895983,0,0,Some secondary,0,-10,100,0,Black African,Western Cape,Farms
166100310000007801,1698.59868483,10.41711923563258,1,4,Post-school certificate/diploma,1,1,1,0,White,Western Cape,Farms
166100310000007801,1698.59868483,9.97966124675897,1,4,Post-school certificate/diploma,1,0,0,1,White,Western Cape,Farms
166100310000015201,1784.10189507,8.517193191416238,1,3,Primary (Grade R-7),0,17,289,0,Coloured,Western Cape,Farms
166100310000015201,1784.10189507,8.27614021955846,1,3,Matric,1,-9,81,0,Coloured,Western Cape,Farms
166100310000022601,1443.12865204,8.85366542803745,1,2,Some secondary,0,-8,64,1,Coloured,Western Cape,Farms
166100310000022601,1443.12865204,8.881836305004146,1,2,Primary (Grade R-7),0,-9,81,0,Coloured,Western Cape,Farms
