household_id,person_weight,employed,age_centred,age_centred_squared,female,population_group,province,settlement_type,education_band,matric_plus,has_fixed_internet,has_mobile_internet,has_computer,any_home_internet,digital_access_score,smartphone_access,edu_digital_group,household_size,n_children_under15,elderly_in_household,dependency_ratio,female_x_children,other_member_matric
162100750000001001,1402.7069635,Employed,-17,289,0,Coloured,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,2,Fewer than 1 per member,"Below matric, internet",5,3,0,1.5,0,No
162100750000005201,828.481561596,Employed,-17,289,1,Black African,Western Cape,Non-metro urban,Matric,1,0,1,0,1,2,1 or more per member,"Matric+, internet",1,0,0,0,0,No other working-age member
162100850000001001,1518.42134858,Employed,-7,49,0,Coloured,Western Cape,Non-metro urban,Post-school certificate/diploma,1,0,1,1,1,3,Fewer than 1 per member,"Matric+, internet",4,2,0,1,0,Yes
162100850000001001,1518.42134858,Employed,-10,100,1,Coloured,Western Cape,Non-metro urban,Matric,1,0,1,1,1,3,Fewer than 1 per member,"Matric+, internet",4,2,0,1,2,Yes
162100850000002901,1300.70609223,Employed,9,81,0,Coloured,Western Cape,Non-metro urban,Some secondary,0,0,0,0,0,1,Fewer than 1 per member,,5,0,0,0,0,Yes
162100850000002901,1300.70609223,Employed,10,100,1,Coloured,Western Cape,Non-metro urban,Some secondary,0,0,0,0,0,1,Fewer than 1 per member,,5,0,0,0,0,Yes
162100850000002901,1300.70609223,Unemployed,-12,144,1,Coloured,Western Cape,Non-metro urban,Matric,1,0,0,0,0,1,Fewer than 1 per member,"Matric+, no internet",5,0,0,0,0,Yes
162100850000002901,1300.70609223,Employed,-18,324,0,Coloured,Western Cape,Non-metro urban,Matric,1,0,0,0,0,1,Fewer than 1 per member,"Matric+, no internet",5,0,0,0,0,Yes
162100850000004801,931.616906954,Employed,-4,16,1,Black African,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,2,1 or more per member,"Below matric, internet",1,0,0,0,0,No other working-age member
162100850000006701,1517.34212848,Employed,0,0,0,Black African,Western Cape,Non-metro urban,Some secondary,0,0,0,0,0,0,None,,5,2,0,0.6666666666666666,0,No
162100850000006701,1517.34212848,Employed,-2,4,1,Black African,Western Cape,Non-metro urban,Some secondary,0,0,0,0,0,0,None,,5,2,0,0.6666666666666666,2,No
162100850000008601,1099.42315588,Employed,16,256,0,Black African,Western Cape,Non-metro urban,Some secondary,0,0,0,0,0,1,Fewer than 1 per member,,3,1,0,0.5,0,No
162100850000008601,1099.42315588,Unemployed,-12,144,0,Black African,Western Cape,Non-metro urban,Some secondary,0,0,0,0,0,1,Fewer than 1 per member,,3,1,0,0.5,0,No
162100850000010501,1025.71020502,Employed,-4,16,0,Black African,Western Cape,Non-metro urban,Some secondary,0,0,0,0,0,1,1 or more per member,,2,0,0,0,0,No
162100850000010501,1025.71020502,Unemployed,-4,16,1,Coloured,Western Cape,Non-metro urban,Some secondary,0,0,0,0,0,1,1 or more per member,,2,0,0,0,0,No
162100850000014301,1258.2818594,Unemployed,-13,169,0,Black African,Western Cape,Non-metro urban,Post-school certificate/diploma,1,0,1,0,1,2,1 or more per member,"Matric+, internet",2,0,0,0,0,Yes
162100850000014301,1258.2818594,Employed,-15,225,1,Black African,Western Cape,Non-metro urban,Matric,1,0,1,0,1,2,1 or more per member,"Matric+, internet",2,0,0,0,0,Yes
162100940000024301,1865.7800593,Employed,22,484,0,Coloured,Western Cape,Farms,Primary (Grade R-7),0,0,1,1,1,3,Fewer than 1 per member,"Below matric, internet",6,2,0,0.5,0,Yes
162100940000024301,1865.7800593,Employed,-13,169,1,Coloured,Western Cape,Farms,Some secondary,0,0,1,1,1,3,Fewer than 1 per member,"Below matric, internet",6,2,0,0.5,2,Yes
162100940000024301,1865.7800593,Unemployed,-18,324,1,Coloured,Western Cape,Farms,Matric,1,0,1,1,1,3,Fewer than 1 per member,"Matric+, internet",6,2,0,0.5,2,No
