household_id,person_number,psu,province_code,sex_code,age,population_group_code,geo_type_code,metro_indicator,person_weight,household_id_flag,age_flag,province,sex,population_group,geo_type,metro
163101550000017501,03,16310155000,1,2,30,2,1,2,1408.68554955,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163101550000022501,01,16310155000,1,1,24,1,1,2,1037.23692101,NA,NA,Western Cape,Male,Black African,Urban,Non-metro
163101550000022501,02,16310155000,1,2,24,1,1,2,1037.23692101,NA,NA,Western Cape,Female,Black African,Urban,Non-metro
163101550000025001,01,16310155000,1,1,39,1,1,2,1285.65557097,NA,NA,Western Cape,Male,Black African,Urban,Non-metro
163101550000025001,02,16310155000,1,2,35,1,1,2,1285.65557097,NA,NA,Western Cape,Female,Black African,Urban,Non-metro
163102320000001701,01,16310232000,1,1,59,2,1,2,1004.19466817,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163102320000001701,02,16310232000,1,2,55,2,1,2,1004.19466817,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163102320000001701,03,16310232000,1,1,29,2,1,2,1004.19466817,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163102320000004901,01,16310232000,1,1,54,2,1,2,910.410866002,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163102320000004901,02,16310232000,1,2,41,2,1,2,910.410866002,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163102320000004901,03,16310232000,1,2,18,2,1,2,910.410866002,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163102320000008101,02,16310232000,1,2,64,4,1,2,619.349910464,NA,NA,Western Cape,Female,White,Urban,Non-metro
163102350000002401,01,16310235000,1,1,30,1,1,2,1286.56942442,NA,NA,Western Cape,Male,Black African,Urban,Non-metro
163102350000002401,02,16310235000,1,2,29,1,1,2,1286.56942442,NA,NA,Western Cape,Female,Black African,Urban,Non-metro
163102350000005301,01,16310235000,1,1,55,2,1,2,695.535275368,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163102350000005301,02,16310235000,1,2,54,2,1,2,695.535275368,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163102350000005301,03,16310235000,1,2,23,2,1,2,695.535275368,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163102350000008201,02,16310235000,1,1,19,2,1,2,569.184917976,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163102350000011101,01,16310235000,1,2,63,2,1,2,1076.86399085,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163102350000011101,02,16310235000,1,1,37,2,1,2,1076.86399085,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163102850000000401,01,16310285000,1,1,63,2,1,2,686.689212065,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163102850000000401,03,16310285000,1,2,40,2,1,2,686.689212065,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
